name,years,reviews,employee,rating,type,highly_rated_for
T-SYSTEMS ICT INDIA,7 years old,594,1k-5k Employees,4.0,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Kalpataru Group,54 years old,593,1k-5k Employees,3.8,Real Estate,Job Security
Medusind Solutions,Mumbai +7 more,592,1k-5k Employees,3.9,BPO,"Job Security, Company Culture, Work Life Balance"
Lowe's,77 years old,592,1k-5k Employees,4.3,Retail,"Work Life Balance, Company Culture, Job Security"
Artech Infosystems,null,592,31 years old,3.5,1k-5k Employees,null
Defence Research & Development Organisation,65 years old,591,10k-50k Employees,4.5,Defence & Aerospace,"Skill Development / Learning, Work Life Balance, Company Culture"
OLX,Gurgaon +47 more,590,1k-5k Employees,3.8,IT Services & Consulting,Salary & Benefits
Stanza Living,6 years old,590,501-1k Employees,2.9,Internet,"Job Security, Promotions / Appraisal, Company Culture"
Capital Numbers Infotech,Kolkata +5 more,590,501-1k Employees,4.7,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
SBFC Finance,Mumbai +142 more,590,501-1k Employees,3.7,Financial Services,null
Netscribes,New York +7 more,589,1k-5k Employees,2.9,Analytics & KPO,"Promotions / Appraisal, Salary & Benefits, Job Security"
Schlumberger,97 years old,589,5k-10k Employees,4.1,Oil & Gas,"Company Culture, Work Life Balance, Salary & Benefits"
GlaxoSmithKline Consumer Healthcare,23 years old,588,1k-5k Employees,4.5,Pharma,"Company Culture, Work Life Balance, Work Satisfaction"
Samsung Research,Seocho-gu +8 more,587,1k-5k Employees,3.4,Consumer Electronics & Appliances,Job Security
SFO Technologies,Kochi/Cochin +11 more,586,1k-5k Employees,3.6,Electronics Manufacturing,"Promotions / Appraisal, Salary & Benefits"
DAV Public School,Delhi/NCR +133 more,585,1 Lakh+ Employees,4.0,Education & Training,"Skill Development / Learning, Salary & Benefits, Company Culture"
Cult.fit,7 years old,585,1k-5k Employees,3.8,Fitness & Wellness,null
Temenos,Geneva +7 more,584,1k-5k Employees,3.2,Software Product,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Sanden Vikas,Faridabad +19 more,584,1k-5k Employees,3.8,Auto Components,null
ICCS,Delhi/NCR +19 more,584,501-1k Employees,3.2,BPO,"Promotions / Appraisal, Salary & Benefits, Job Security"
Musashi Auto Parts,Gurgaon/Gurugram +14 more,583,1k-5k Employees,3.9,Auto Components,Skill Development / Learning
Genpact Headstrong Capital Markets,New Delhi +16 more,583,1k-5k Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance"
NetCracker,Waltham +7 more,582,1k-5k Employees,3.1,IT Services & Consulting,"Job Security, Skill Development / Learning, Work Satisfaction"
Nityo Infotech,plainsboro New Jersey +26 more,582,1k-5k Employees,3.1,IT Services & Consulting,"Promotions / Appraisal, Job Security, Company Culture"
Tanishq,Bangalore/Bengaluru +137 more,582,1 Lakh+ Employees,4.3,Jewellery,"Skill Development / Learning, Company Culture, Work Satisfaction"
Royal Sundaram General Insurance,Chennai +87 more,582,1k-5k Employees,3.9,Insurance,"Work Life Balance, Job Security, Company Culture"
CreditAccess Grameen,24 years old,582,10k-50k Employees,4.2,Financial Services,"Job Security, Company Culture, Work Life Balance"
Athena BPO,Mumbai +23 more,581,201-500 Employees,3.2,BPO,"Promotions / Appraisal, Salary & Benefits"
Asirvad Microfinance,Chennai +177 more,581,5k-10k Employees,3.8,NBFC,Salary & Benefits
Navayuga Engineering Company,Hyderabad/Secunderabad +56 more,581,501-1k Employees,4.1,Engineering & Construction,"Skill Development / Learning, Job Security, Work Life Balance"
Tata Consumer Products,61 years old,581,1k-5k Employees,3.9,FMCG,null
Collins Aerospace,Charlotte +6 more,581,1k-5k Employees,4.0,Defence & Aerospace,"Job Security, Work Life Balance, Company Culture"
Telenor,14 years old,579,501-1k Employees,4.5,Telecom,"Company Culture, Work Life Balance, Skill Development / Learning"
Medlife,9 years old,579,1k-5k Employees,3.7,Internet,null
Signify,7 years old,579,1k-5k Employees,3.7,Consumer Electronics & Appliances,null
J B Chemicals And Pharmaceuticals,47 years old,579,1k-5k Employees,3.8,Pharma,null
BNP Paribas India Solutions,Paris +9 more,578,5k-10k Employees,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Velocis Systems,Noida +39 more,575,1k-5k Employees,3.9,IT Services & Consulting,"Work Life Balance, Job Security"
GirnarSoft,Jaipur +42 more,574,1k-5k Employees,3.7,IT Services & Consulting,null
ICA Edu Skills,Kolkata +110 more,573,1k-5k Employees,3.7,Education & Training,null
OCS Group,Mumbai +41 more,573,10k-50k Employees,3.8,Facility Management Services,null
Ageas Federal Life Insurance,Mumbai +107 more,573,1k-5k Employees,3.6,Insurance,null
Franklin Templeton Investments,San Mateo +17 more,571,1k-5k Employees,4.2,Financial Services,"Work Life Balance, Company Culture, Job Security"
Bridge & Roof Co,103 years old,571,1k-5k Employees,3.6,Engineering & Construction,null
Steag Energy Services,Essen +35 more,569,1k-5k Employees,4.2,Power,"Job Security, Work Life Balance, Skill Development / Learning"
Reliance Power,28 years old,569,1k-5k Employees,4.2,Power,"Work Life Balance, Job Security, Work Satisfaction"
Allscripts,Chicago +5 more,569,1k-5k Employees,4.2,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
Shilpa Medicare,36 years old,568,1k-5k Employees,3.6,Pharma,null
NBC Bearings,77 years old,568,1-10 Employees,3.9,Auto Components,"Job Security, Work Life Balance, Skill Development / Learning"
Xebia,Hilversum +12 more,568,1k-5k Employees,3.5,IT Services & Consulting,null
CNH Industrial,10 years old,567,1k-5k Employees,4.2,Automobile,"Company Culture, Work Life Balance, Job Security"
Ugam Solution,Mumbai +12 more,567,1k-5k Employees,3.6,IT Services & Consulting,Job Security
Rebel Foods,11 years old,567,5k-10k Employees,3.7,Internet,null
Lumina Datamatics,Mumbai +11 more,567,1k-5k Employees,3.6,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Kurlon,Bangalore/Bengaluru +81 more,565,1k-5k Employees,4.3,Furniture & Furnishing,"Work Life Balance, Company Culture, Skill Development / Learning"
HomeLane,9 years old,565,1k-5k Employees,3.5,Architecture & Interior Design,"Job Security, Promotions / Appraisal"
Carnival Cruise Lines,51 years old,565,1k-5k Employees,4.4,Sports & Recreation,"Company Culture, Job Security, Skill Development / Learning"
Hitachi Payment Services,Mumbai +35 more,564,1k-5k Employees,3.8,FinTech,Job Security
Tata Starbucks,Seattle +33 more,563,1k-5k Employees,4.3,Retail,"Job Security, Company Culture, Skill Development / Learning"
Hindustan Sanitaryware & Industries,63 years old,562,1k-5k Employees,4.1,Furniture & Furnishing,"Work Life Balance, Job Security, Skill Development / Learning"
Salesforce,24 years old,562,5k-10k Employees,4.2,Software Product,"Salary & Benefits, Company Culture, Work Life Balance"
Eveready Industries,89 years old,561,1k-5k Employees,4.1,Auto Components,"Job Security, Company Culture, Work Life Balance"
Westside,Mumbai +85 more,561,5k-10k Employees,4.1,Fashion & Textile,"Job Security, Skill Development / Learning, Company Culture"
City Union Bank,119 years old,560,5k-10k Employees,3.4,Banking,Job Security
Knight Frank,London +40 more,560,501-1k Employees,4.2,Real Estate,"Company Culture, Work Life Balance, Skill Development / Learning"
NoBrokerHOOD,Bengaluru/Bangalore +25 more,560,501-1k Employees,3.4,Software Product,null
Arohan Financial Services,Kolkata +134 more,559,5k-10k Employees,4.0,Financial Services,"Job Security, Skill Development / Learning, Salary & Benefits"
Volvo,96 years old,559,1k-5k Employees,4.2,Automobile,"Job Security, Work Life Balance, Company Culture"
Amazon Services,null,558,null,4.2,Hyderabad/Secunderabad +40 more,"Skill Development / Learning, Salary & Benefits, Company Culture"
L&T Power,17 years old,558,1k-5k Employees,3.9,Power,"Job Security, Skill Development / Learning"
First Advantage,Atlanta +13 more,555,1k-5k Employees,3.9,Recruitment,"Company Culture, Work Life Balance"
Piramal Pharma,35 years old,555,1k-5k Employees,3.9,Pharma,"Job Security, Skill Development / Learning, Company Culture"
GE Healthcare,Chicago +25 more,553,1k-5k Employees,4.2,Healthcare,"Company Culture, Job Security, Work Life Balance"
The Lalit,New Delhi +29 more,553,1k-5k Employees,3.8,Hospitality,Skill Development / Learning
Lumen Technologies,93 years old,552,1k-5k Employees,3.9,Hardware & Networking,"Work Life Balance, Job Security, Company Culture"
Adani Green Energy,8 years old,552,1k-5k Employees,4.2,Power,"Job Security, Skill Development / Learning, Salary & Benefits"
Mastek,41 years old,550,1k-5k Employees,3.6,IT Services & Consulting,null
Kutumbh Care,Noida +145 more,550,5k-10k Employees,4.0,Recruitment,"Skill Development / Learning, Work Satisfaction, Company Culture"
Aparajitha Corporate Services,Madurai +65 more,549,1k-5k Employees,3.9,Recruitment,"Job Security, Skill Development / Learning, Company Culture"
Transsion,17 years old,549,501-1k Employees,4.2,Hardware & Networking,"Job Security, Company Culture, Work Life Balance"
Dhani Loans and Services,null,549,1k-5k Employees,3.7,NBFC,null
NielsenIQ,Chicago +21 more,548,5k-10k Employees,3.9,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security"
RAMTeCH Software Solutions,Noida +27 more,548,1k-5k Employees,3.8,IT Services & Consulting,Job Security
Jaya Hind Industries,76 years old,546,1k-5k Employees,3.6,Auto Components,null
Aerial Telecom Solutions,Mohali +65 more,546,501-1k Employees,4.2,Telecom,"Work Life Balance, Company Culture, Work Satisfaction"
Citco,Cayman Islands +6 more,546,1k-5k Employees,3.3,Financial Services,"Work Life Balance, Work Satisfaction"
Crowne Plaza,40 years old,544,501-1k Employees,4.2,Hospitality,"Company Culture, Skill Development / Learning, Work Life Balance"
Flash Electronics,Pune +16 more,544,1k-5k Employees,3.5,Electronics Manufacturing,Promotions / Appraisal
Advik Hi Tech,Pune +18 more,544,1k-5k Employees,3.7,Auto Components,null
Deepak Fertilisers and Petrochemicals,44 years old,543,1k-5k Employees,3.8,Agro Chemicals,Job Security
Astral Pipe,Ahmedabad +77 more,543,1-10 Employees,4.1,Building Material,"Job Security, Work Life Balance, Company Culture"
IMPACT Infotech,Pune +52 more,542,1k-5k Employees,3.5,Recruitment,Promotions / Appraisal
Indiabulls Ventures,28 years old,542,1k-5k Employees,3.6,Financial Services,Job Security
AuthBridge Research Services,Gurgaon +13 more,541,501-1k Employees,3.4,IT Services & Consulting,Promotions / Appraisal
Globant,San Francisco +11 more,541,1k-5k Employees,4.0,Software Product,"Company Culture, Work Life Balance, Salary & Benefits"
Denave,Noida +52 more,540,501-1k Employees,3.8,Marketing & Advertising,"Work Life Balance, Company Culture"
Quantiphi Analytics Solutions,10 years old,540,1k-5k Employees,3.1,IT Services & Consulting,"Work Life Balance, Job Security, Work Satisfaction"
Bitwise Solutions,Schaumburg +3 more,539,1k-5k Employees,4.3,IT Services & Consulting,"Company Culture, Skill Development / Learning, Salary & Benefits"
Primus Global Technologies,Irving +25 more,538,11-50 Employees,4.2,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Investors Clinic,Noida +23 more,538,1k-5k Employees,3.7,Real Estate,Skill Development / Learning
Hitachi Systems Micro Clinic,Chiyoda City +69 more,538,1k-5k Employees,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning"
Adani Enterprises,35 years old,537,1k-5k Employees,3.8,Financial Services,Job Security
H&M,76 years old,536,1k-5k Employees,4.1,Retail,"Work Life Balance, Company Culture, Job Security"
Chennai Radha Engineering Works,Chennai +38 more,536,5k-10k Employees,3.9,Industrial Machinery,"Job Security, Skill Development / Learning"
TCNS Clothing Company,22 years old,536,501-1k Employees,4.0,Fashion & Textile,"Skill Development / Learning, Job Security, Work Life Balance"
Rallis India,75 years old,536,1k-5k Employees,4.3,Agro Chemicals,"Job Security, Company Culture, Work Life Balance"
Tata Hitachi Construction Machinery,24 years old,535,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Work Life Balance, Company Culture"
Muthoot Microfin,Ernakulam +166 more,535,5k-10k Employees,4.1,NBFC,"Skill Development / Learning, Company Culture, Job Security"
Eris Lifesciences,16 years old,534,1k-5k Employees,3.9,Pharma,Salary & Benefits
Northern Trust,null,534,5k-10k Employees,3.9,Financial Services,"Job Security, Company Culture"
Bharti Infratel,17 years old,533,1k-5k Employees,4.4,Telecom,"Company Culture, Skill Development / Learning, Work Life Balance"
Rodic Consultants,Delhi/NCR +94 more,533,1k-5k Employees,4.3,Engineering & Construction,"Company Culture, Work Life Balance, Work Satisfaction"
Engineers India,Delhi/NCR +56 more,532,Public,4.3,1k-5k Employees,"Work Life Balance, Skill Development / Learning, Company Culture"
EMERSON PROCESS MANAGEMENT,133 years old,532,1k-5k Employees,3.9,Industrial Machinery,"Company Culture, Job Security, Work Life Balance"
Svatantra Microfin,Mumbai +201 more,532,1k-5k Employees,4.3,NBFC,"Company Culture, Job Security, Skill Development / Learning"
Silaris Informations,Delhi/NCR +19 more,531,1k-5k Employees,3.1,BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Finolex Cables,67 years old,531,1k-5k Employees,3.8,Electrical Equipment,null
Comviva Technology,Gurgaon +16 more,530,1k-5k Employees,3.5,IT Services & Consulting,Job Security
Magna Infotech,26 years old,530,1k-5k Employees,3.3,Automobile,"Promotions / Appraisal, Salary & Benefits"
Fractal Analytics,New York City +12 more,530,Indian Unicorn,4.1,1k-5k Employees,"Job Security, Company Culture, Work Life Balance"
Redington,24 years old,530,1k-5k Employees,4.0,Hardware & Networking,"Job Security, Work Life Balance, Skill Development / Learning"
Caparo Engineering India,Gurgaon/Gurugram +33 more,530,51-200 Employees,3.8,Auto Components,null
SHYAM METALICS AND ENERGY,28 years old,530,1k-5k Employees,3.7,Iron & Steel,null
McDermott International,100 years old,530,1k-5k Employees,4.2,Oil & Gas,"Work Life Balance, Company Culture, Skill Development / Learning"
Ingram Micro,44 years old,528,1k-5k Employees,3.9,IT Services & Consulting,"Job Security, Company Culture"
Religare,39 years old,528,1k-5k Employees,3.7,Financial Services,null
TÜV NORD,Mumbai +49 more,528,201-500 Employees,3.6,Other,null
Ivrcl Infrastructures & Projects,36 years old,526,1k-5k Employees,4.2,Engineering & Construction,"Company Culture, Job Security, Work Satisfaction"
Jabil Circuit India,57 years old,526,1k-5k Employees,3.9,Electronics Manufacturing,"Skill Development / Learning, Company Culture"
Ebix Software India,47 years old,525,1k-5k Employees,3.3,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Simplilearn,San Francisco +5 more,525,1k-5k Employees,3.2,EdTech,"Promotions / Appraisal, Job Security"
Trimax IT Infrastructure Services,Mumbai +67 more,524,1k-5k Employees,3.4,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Amphenol Interconnect,Pune +8 more,524,51-200 Employees,4.3,Electrical Equipment,"Work Life Balance, Skill Development / Learning, Work Satisfaction"
Sharda Motor Industries,37 years old,523,1k-5k Employees,3.9,Auto Components,Skill Development / Learning
Guardian India,New York  +8 more,523,1k-5k Employees,4.1,Insurance,"Job Security, Company Culture, Work Life Balance"
Lea Associates South Asia,Delhi/NCR +110 more,523,201-500 Employees,4.3,Power,"Work Life Balance, Company Culture, Work Satisfaction"
MattsenKumar,Gurgaon/Gurugram +7 more,523,1k-5k Employees,3.5,BPO,Promotions / Appraisal
Times Internet,24 years old,523,10k-50k Employees,3.7,Internet,Work Life Balance
Re Sustainability Limited,Hyderabad +59 more,522,10k-50k Employees,4.0,Waste Management,"Job Security, Work Life Balance, Skill Development / Learning"
Target,121 years old,522,1k-5k Employees,4.4,Retail,"Company Culture, Work Life Balance, Job Security"
HSBC Bank,null,522,Hyderabad/Secunderabad +29 more,4.2,Fortune India 500,"Job Security, Company Culture, Work Life Balance"
IFFCO,Delhi/NCR +69 more,521,1k-5k Employees,4.0,Agro Chemicals,"Job Security, Salary & Benefits, Work Life Balance"
Wipro Infrastructure Engineering,Bangalore/Bengaluru +34 more,521,1k-5k Employees,3.8,Industrial Machinery,Skill Development / Learning
Innodata Isogen,New Jersey +7 more,521,1k-5k Employees,3.1,IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
